Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.198.130-59.103.129.10-62009-80-6,192.168.198.130,62009,59.103.129.10,80,6,15/06/2025 02:49:24 PM,122965,5,5,308.0,187.0,154.0,0.0,61.6,84.34927385579559,187.0,0.0,37.4,83.62894235849214,4025.5357215467816,81.32395397064205,13662.777777777776,27149.536873479894,69109.0,0.0,69961.0,17490.25,34479.543629762076,69207.0,7.0,122965.0,30741.249999999996,35999.5247225571,69115.0,0.0,0,0,0,0,112,124,40.661976985321026,40.661976985321026,0.0,187.0,45.0,77.54095691955317,6012.6,0,1,0,0,0,0,0,0,1.0,49.5,61.6,37.4,0,0,0,0,0,0,5,308,5,187,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-59.103.129.10-62009-80-6,192.168.198.130,62009,59.103.129.10,80,6,15/06/2025 02:49:24 PM,16,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,8.0,5.656854249492381,12.0,4.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,40,20,125000.0,62500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.71-62013-8080-6,192.168.198.130,62013,192.168.198.71,8080,6,15/06/2025 02:49:28 PM,21293,6,7,1068.0,208.0,534.0,0.0,178.0,275.7564142499681,104.0,0.0,29.714285714285715,50.74680379332372,59925.79721035082,610.5292819236369,1774.4166666666665,5741.832182379249,20001.0,3.0,21288.0,4257.6,9066.336818142154,20472.0,3.0,21003.0,3500.5,8087.495972178286,20001.0,4.0,0,0,0,0,132,176,281.78274550321703,328.7465364204199,0.0,534.0,91.14285714285715,191.2802443226479,36588.131868131866,0,1,0,0,0,0,0,0,1.0,98.15384615384616,178.0,29.714285714285715,0,0,0,0,0,0,6,1068,7,208,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.71-62013-8080-6,192.168.198.130,62013,192.168.198.71,8080,6,15/06/2025 02:49:28 PM,595,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3361.344537815126,595.0,0.0,595.0,595.0,0,0,0,0,0,595.0,595.0,0.0,595.0,595.0,0,0,0,0,0,40,0.0,3361.344537815126,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.71-62014-8080-6,192.168.198.130,62014,192.168.198.71,8080,6,15/06/2025 02:49:28 PM,5039374,5,8,1068.0,208.0,534.0,0.0,213.6,292.4838457077587,104.0,0.0,26.0,48.14264518817268,253.20605297404006,2.579685492682226,419947.8333333334,1453477.4950287535,5035358.0,3.0,5035621.0,1258905.25,2517635.16944723,5035358.0,3.0,5039374.0,719910.5714285715,1903217.7268848193,5036002.0,5.0,0,0,0,0,112,196,0.9921867279547024,1.5874987647275238,0.0,534.0,91.14285714285715,191.2802443226479,36588.131868131866,0,1,0,0,0,0,0,0,1.0,98.15384615384616,213.6,26.0,0,0,0,0,0,0,5,1068,8,208,-1,501,2,0,264.0,0.0,264.0,264.0,5035358.0,0.0,5035358.0,5035358.0,No Label
192.168.198.130-192.168.198.71-62014-8080-6,192.168.198.71,8080,192.168.198.130,62014,6,15/06/2025 02:49:33 PM,114,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,38.0,35.59494346111537,75.0,4.0,0,0,0,0,0,114.0,38.0,35.59494346111537,75.0,4.0,0,0,0,0,0,80,0.0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.71-62016-8080-6,192.168.198.130,62016,192.168.198.71,8080,6,15/06/2025 02:49:33 PM,30023725,6,7,1068.0,208.0,534.0,0.0,178.0,275.7564142499681,104.0,0.0,29.714285714285715,50.74680379332372,42.49972313562025,0.432990909688921,2501977.0833333335,8666550.806524405,3.0021972E7,3.0,3.0023719E7,6004743.8,1.3426038733281393E7,3.0021972E7,4.0,3.0023287E7,5003881.166666667,1.2256452959771149E7,3.0022261E7,3.0,0,0,0,0,132,176,0.19984195831796356,0.23314895137095748,0.0,534.0,91.14285714285715,191.2802443226479,36588.131868131866,0,1,0,0,0,0,0,0,1.0,98.15384615384616,178.0,29.714285714285715,0,0,0,0,0,0,6,1068,7,208,-1,501,2,0,373.0,0.0,373.0,373.0,3.0021972E7,0.0,3.0021972E7,3.0021972E7,No Label
192.168.198.130-192.168.198.71-62016-8080-6,192.168.198.130,62016,192.168.198.71,8080,6,15/06/2025 02:50:03 PM,522,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3831.417624521073,522.0,0.0,522.0,522.0,0,0,0,0,0,522.0,522.0,0.0,522.0,522.0,0,0,0,0,0,40,0.0,3831.417624521073,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.71-34.107.221.82-37344-80-6,192.168.198.71,37344,34.107.221.82,80,6,15/06/2025 02:49:30 PM,43742275,24,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64011302567139,1620084.2592592593,3443767.9612368196,1.6141714E7,2.0,4.3742268E7,1901837.739130435,3678401.7170469225,1.6141714E7,2.0,3.9970125E7,1.3323375E7,2.201577403153078E7,3.874089E7,218695.0,0,0,0,0,860,136,0.5486683077183343,0.09144471795305571,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,4,0,-1,65535,0,0,5647993.5,7987459.108400148,1.129598E7,7.0,1.2162133E7,5627977.422762284,1.6141714E7,8182552.0,No Label
192.168.198.71-34.107.221.82-37344-80-6,192.168.198.71,37344,34.107.221.82,80,6,15/06/2025 02:50:14 PM,1015041,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9703637587053133,1015041.0,0.0,1015041.0,1015041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.9851818793526567,0.9851818793526567,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
