Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.198.130-20.190.146.39-60974-443-6,192.168.198.130,60974,20.190.146.39,443,6,26/05/2025 08:59:17 AM,117371,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.039984323214423,117371.0,0.0,117371.0,117371.0,0,0,0,0,0,117371.0,117371.0,0.0,117371.0,117371.0,0,0,0,0,0,40,0.0,17.039984323214423,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,49153,0,0,0,0,0,0,0,0,0,0,No Label
140.82.112.22-192.168.198.130-443-61029-6,192.168.198.130,61029,140.82.112.22,443,6,26/05/2025 08:59:17 AM,1330448,7,14,2598.0,6444.0,1400.0,0.0,371.14285714285717,536.473183104688,1400.0,0.0,460.2857142857144,618.980107617663,6796.206991930538,15.784156915565282,66522.4,142806.4308523217,405349.0,0.0,763055.0,127175.83333333334,195952.37360380878,405541.0,0.0,1330448.0,102342.15384615384,169086.41475384028,408912.0,0.0,0,0,0,0,140,316,5.2613856385217606,10.522771277043521,0.0,1400.0,411.0000000000001,574.1097456061863,329601.9999999999,0,1,0,0,0,0,0,0,2.0,430.57142857142856,371.14285714285717,460.2857142857143,0,0,0,0,0,0,7,2598,14,6444,-1,70,3,0,0,0,0,0,0,0,0,0,No Label
140.82.112.22-192.168.198.130-443-61029-6,192.168.198.130,61029,140.82.112.22,443,6,26/05/2025 08:59:19 AM,923,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,26002.16684723727,3250.2708559046587,461.5,109.60155108391487,539.0,384.0,384.0,384.0,0.0,384.0,384.0,0,0,0,0,0,0,0,0,0,40,20,2166.8472372697724,1083.4236186348862,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-20.207.73.85-61024-443-6,20.207.73.85,443,192.168.198.130,61024,6,26/05/2025 08:59:35 AM,365,1,3,24.0,39.0,24.0,24.0,24.0,0.0,39.0,0.0,13.0,22.516660498395403,172602.73972602742,10958.904109589042,121.66666666666667,162.34017781600875,306.0,0.0,0,0,0,0,0,365.0,182.5,174.65537495307723,306.0,59.0,0,1,0,0,20,60,2739.7260273972606,8219.178082191782,0.0,39.0,20.4,19.603571103245446,384.29999999999995,0,0,0,1,1,0,0,0,3.0,25.5,24.0,13.0,0,0,0,0,0,0,1,24,3,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-20.207.73.85-61024-443-6,20.207.73.85,443,192.168.198.130,61024,6,26/05/2025 08:59:35 AM,90750,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.057851239669425,45375.0,64092.15864674867,90695.0,55.0,0,0,0,0,0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,20,40,11.019283746556475,22.03856749311295,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-34.139.124.58-61006-443-6,34.139.124.58,443,192.168.198.130,61006,6,26/05/2025 08:59:16 AM,44237765,4,3,63.0,1.0,39.0,0.0,15.75,19.189841062395487,1.0,0.0,0.33333333333333337,0.5773502691896257,1.4467276997379952,0.15823584215884323,7372960.833333333,1.2323046639316099E7,2.97988E7,0.0,2.9799224E7,9933074.666666668,1.720422280457694E7,2.97988E7,0.0,4.4237528E7,2.2118764E7,1.1414643749358453E7,3.0190136E7,1.4047392E7,0,0,0,0,92,60,0.0904204812336247,0.06781536092521853,0.0,39.0,8.0,15.052289811567825,226.57142857142853,0,0,1,0,1,0,0,0,0.0,9.142857142857142,15.75,0.3333333333333333,0,0,0,0,0,0,4,63,3,1,-1,255,2,0,391149.0,0.0,391149.0,391149.0,2.1923096E7,1.1137927410036035E7,2.97988E7,1.4047392E7,No Label
192.168.198.130-34.139.124.58-61008-443-6,34.139.124.58,443,192.168.198.130,61008,6,26/05/2025 08:59:15 AM,86063469,2,4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5773502691896257,0.02323866354957177,0.06971599064871531,1.72126938E7,1.8801703835632123E7,4.5000308E7,346929.0,4.5670359E7,4.5670359E7,0.0,4.5670359E7,4.5670359E7,8.6063469E7,2.8687823E7,1.5689090748671416E7,4.5347237E7,1.4194066E7,0,0,0,0,64,80,0.02323866354957177,0.04647732709914354,0.0,1.0,0.28571428571428575,0.4879500364742666,0.2380952380952381,0,0,1,0,1,0,0,0,2.0,0.3333333333333333,0.0,0.5,0,0,0,0,0,0,2,0,4,2,-1,253,0,0,346929.0,0.0,346929.0,346929.0,2.9597187E7,2.178330262107383E7,4.5000308E7,1.4194066E7,No Label
134.221.96.11-32.4.0.20-0-0-0,134.221.96.11,0,32.4.0.20,0,0,26/05/2025 08:59:20 AM,97582462,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11272517391496024,9758246.2,9001290.090380043,2.3500654E7,1640925.0,9.5941537E7,1.0660170777777778E7,9055363.70515149,2.3500654E7,2404119.0,0,0,0,0,0,0,0,0,0,0,0,0.10247743083178204,0.010247743083178204,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,6367603.333333333,2627328.3084000624,9325116.0,4303447.0,1.9619913E7,5023460.362064978,2.3500654E7,1.2284968E7,No Label
134.221.96.11-32.4.0.90-0-0-0,134.221.96.11,0,32.4.0.90,0,0,26/05/2025 08:59:21 AM,95998383,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052084210626756076,2.399959575E7,3650703.1537979436,2.8006327E7,2.0009617E7,7.5988766E7,2.5329588666666668E7,3062378.7037896425,2.8006327E7,2.1990103E7,0,0,0,0,0,0,0,0,0,0,0,0.04166736850140486,0.010416842125351215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,2.399959575E7,3650703.1537979436,2.8006327E7,2.0009617E7,No Label
134.221.96.0-0.0.0.32-0-0-0,134.221.96.0,0,0.0.0.32,0,0,26/05/2025 08:59:20 AM,117760432,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06793453339233674,1.682291885714286E7,1.2589220686862862E7,3.1743996E7,321380.0,9.7480271E7,1.6246711833333334E7,1.3689311557380399E7,3.1743996E7,321380.0,0,0,0,0,0,0,0,0,0,0,0,0.05944271671829465,0.008491816674042092,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,362437.0,58063.36623035216,403494.0,321380.0,2.34071116E7,6933155.799248189,3.1743996E7,1.5857989E7,No Label
