Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
140.82.114.21-192.168.198.130-443-62228-6,192.168.198.130,62228,140.82.114.21,443,6,30/05/2025 07:06:44 PM,29586202,1,5,1.0,64.0,1.0,1.0,1.0,0.0,39.0,0.0,12.8,17.8801565988668,2.1969700605708025,0.20279723636038177,5917240.4,1.3033600061227167E7,2.9230828E7,0.0,0,0,0,0,0,2.9586202E7,7396550.499999999,1.4557148977384033E7,2.9230828E7,0.0,0,0,0,0,20,112,0.033799539393396964,0.1689976969669848,0.0,39.0,9.428571428571429,15.69349273698224,246.2857142857143,0,0,0,0,1,0,0,0,5.0,11.0,1.0,12.8,0,0,0,0,0,0,1,1,5,64,-1,73,1,0,355374.0,0.0,355374.0,355374.0,2.9230828E7,0.0,2.9230828E7,2.9230828E7,No Label
140.82.114.21-192.168.198.130-443-62228-6,192.168.198.130,62228,140.82.114.21,443,6,30/05/2025 07:07:13 PM,239,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12552.301255230124,119.5,161.92745289171938,234.0,5.0,234.0,234.0,0.0,234.0,234.0,0,0,0,0,0,0,0,0,0,40,20,8368.200836820084,4184.100418410042,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62264-6,140.82.114.21,443,192.168.198.130,62264,6,30/05/2025 07:07:20 PM,0,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,24.0,39.0,34.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,1,24,1,39,-1,67,1,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62264-6,192.168.198.130,62264,140.82.114.21,443,6,30/05/2025 07:07:20 PM,445,4,1,112.0,0.0,56.0,0.0,28.0,32.331615074619044,0.0,0.0,0.0,0.0,251685.39325842698,11235.955056179775,111.25,123.33795036403029,223.0,3.0,442.0,147.33333333333334,122.5003401355822,223.0,6.0,0,0,0,0,0,0,0,0,0,80,20,8988.76404494382,2247.191011235955,0.0,56.0,18.666666666666664,28.918275651682045,836.2666666666667,0,0,0,0,1,0,0,0,0.0,22.4,28.0,0.0,0,0,0,0,0,0,4,112,1,0,-1,255,2,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62264-6,192.168.198.130,62264,140.82.114.21,443,6,30/05/2025 07:07:20 PM,715789,1,1,56.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,78.23534589103772,2.79411949610849,715789.0,0.0,715789.0,715789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.397059748054245,1.397059748054245,0.0,56.0,18.666666666666668,32.331615074619044,1045.3333333333335,1,0,0,0,1,0,0,0,1.0,28.0,56.0,0.0,0,0,0,0,0,0,1,56,1,0,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62264-6,192.168.198.130,62264,140.82.114.21,443,6,30/05/2025 07:07:21 PM,293090,0,2,0.0,80.0,0,0,0,0,56.0,24.0,40.0,22.627416997969522,272.95370022859873,6.823842505714968,293090.0,0.0,293090.0,293090.0,0,0,0,0,0,293090.0,293090.0,0.0,293090.0,293090.0,0,1,0,0,0,40,0.0,6.823842505714968,24.0,56.0,45.333333333333336,18.475208614068023,341.3333333333333,1,0,0,1,1,0,0,0,0.0,68.0,0.0,40.0,0,0,0,0,0,0,0,0,2,80,-1,67,0,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62277-6,192.168.198.130,62277,140.82.114.21,443,6,30/05/2025 07:06:51 PM,30027562,1,4,1.0,64.0,1.0,1.0,1.0,0.0,39.0,0.0,16.0,18.920887928424502,2.164677904919487,0.1665136849938067,7506890.5,1.477522904786525E7,2.9668278E7,0.0,0,0,0,0,0,3.0027562E7,1.0009187333333332E7,1.7026219651711572E7,2.9668278E7,0.0,0,0,0,0,20,92,0.03330273699876134,0.13321094799504535,0.0,39.0,11.0,16.57709262808168,274.8,0,0,0,0,1,0,0,0,4.0,13.2,1.0,16.0,0,0,0,0,0,0,1,1,4,64,-1,73,1,0,359284.0,0.0,359284.0,359284.0,2.9668278E7,0.0,2.9668278E7,2.9668278E7,No Label
140.82.114.21-192.168.198.130-443-62277-6,192.168.198.130,62277,140.82.114.21,443,6,30/05/2025 07:07:21 PM,184,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16304.347826086956,92.0,125.86500705120545,181.0,3.0,181.0,181.0,0.0,181.0,181.0,0,0,0,0,0,0,0,0,0,40,20,10869.565217391304,5434.782608695652,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
140.82.114.21-192.168.198.130-443-62275-6,192.168.198.130,62275,140.82.114.21,443,6,30/05/2025 07:06:51 PM,30175005,4,4,1.0,64.0,1.0,0.0,0.25,0.5,39.0,0.0,16.0,18.920887928424502,2.1541007201158706,0.26512008862964564,4310715.000000001,1.1255882349047424E7,2.9835042E7,4.0,3.0174998E7,1.0058332666666668E7,1.7421484328394793E7,3.017493E7,4.0,3.0174917E7,1.0058305666666668E7,1.7127998095400125E7,2.9835042E7,103.0,0,0,0,0,80,92,0.13256004431482282,0.13256004431482282,0.0,39.0,7.333333333333333,14.212670403551895,202.0,0,0,0,0,1,0,0,0,1.0,8.25,0.25,16.0,0,0,0,0,0,0,4,1,4,64,-1,78,1,0,339772.0,0.0,339772.0,339772.0,2.9835042E7,0.0,2.9835042E7,2.9835042E7,No Label
140.82.114.21-192.168.198.130-443-62275-6,192.168.198.130,62275,140.82.114.21,443,6,30/05/2025 07:07:21 PM,391,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5115.089514066496,391.0,0.0,391.0,391.0,0,0,0,0,0,391.0,391.0,0.0,391.0,391.0,0,0,0,0,0,40,0.0,5115.089514066496,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,78,0,0,0,0,0,0,0,0,0,0,No Label
